model,iou_threshold,gt_detections,prediction_detections,unique_gt_ids,unique_pred_ids,TP,FP,FN,precision,recall,IDTP,IDFP,IDFN,IDP,IDR,IDF1,ID_switches,fragmentations,MOTA,IDF1_change_vs_raw,IDSW_change_vs_raw,IDF1_change_vs_v10,IDF1_relative_vs_v10_percent,IDSW_reduction_vs_v10,rank,reid_threshold,geometry_max_score
Raw_ByteTrack,0.5,24070,25127,143,316,23252,1875,818,0.9253790743025431,0.9660157872870794,21698,3429,2372,0.8635332510844907,0.9014540922309929,0.8820863060755737,63,104,0.8855006231823848,0.0,0,0.09603087071614191,12.216806397659578,-2,1,,
V12_GeoMax_0.45,0.5,24070,24864,143,252,23125,1739,945,0.9300595238095238,0.9607395097631907,20656,4208,3414,0.8307593307593307,0.8581636892397175,0.8442391793027343,53,104,0.8862899875363524,-0.03784712677283941,-10,0.0581837439433025,7.401989901220821,8,2,0.84,0.45
V12_GeoMax_0.55,0.5,24070,24867,143,251,23125,1742,945,0.9299473197410223,0.9607395097631907,20514,4353,3556,0.8249487272288575,0.8522642293311176,0.838384044792284,55,104,0.8860822600747819,-0.04370226128328969,-8,0.052328609432852224,6.657114381369864,6,3,0.84,0.55
V12_GeoMax_0.60,0.5,24070,24872,143,246,23128,1744,942,0.9298809906722418,0.9608641462401329,20475,4397,3595,0.8232148600836282,0.8506439551308683,0.8367046708348658,56,104,0.8860822600747819,-0.04538163524070793,-7,0.050649235475433985,6.4434686406403525,5,4,0.84,0.6
V12_GeoMax_0.50,0.5,24070,24865,143,253,23125,1740,945,0.930022119445003,0.9607395097631907,20459,4406,3611,0.8228031369394732,0.849979227253843,0.8361704301624604,56,104,0.8861238055670959,-0.0459158759131133,-7,0.05011499480302861,6.375503882892562,5,5,0.84,0.5
V11_ReID_0.84,0.5,24070,24898,143,223,23142,1756,928,0.9294722467668086,0.9614457831325302,20100,4798,3970,0.8072937585348221,0.8350643955130869,0.8209442901486685,57,106,0.8861238055670959,-0.06114201592690516,-6,0.034888854789236756,4.4384725580179305,4,6,,
V10_Geometry,0.5,24070,24924,143,199,23149,1775,921,0.9287835018456106,0.9617366015787288,19256,5668,4814,0.7725886695554486,0.8,0.7860554353594318,61,106,0.8854590776900706,-0.09603087071614191,-2,0.0,0.0,0,7,,
