model,iou_threshold,gt_detections,prediction_detections,unique_gt_ids,unique_pred_ids,TP,FP,FN,precision,recall,IDTP,IDFP,IDFN,IDP,IDR,IDF1,ID_switches,fragmentations,MOTA,reid_threshold,geometry_max_score,rank
V12_ReID_0.86,0.5,24070,24858,143,258,23124,1734,946,0.9302437846970794,0.9606979642708766,20674,4184,3396,0.8316839649207498,0.858911508101371,0.8450784826684107,53,104,0.8864561695056087,0.86,0.45,1
V12_ReID_0.84,0.5,24070,24864,143,252,23125,1739,945,0.9300595238095238,0.9607395097631907,20656,4208,3414,0.8307593307593307,0.8581636892397175,0.8442391793027343,53,104,0.8862899875363524,0.84,0.45,2
V12_ReID_0.82,0.5,24070,24865,143,250,23126,1739,944,0.9300623366177357,0.9607810552555047,20656,4209,3414,0.8307259199678263,0.8581636892397175,0.8442219270460816,53,104,0.8863315330286664,0.82,0.45,3
V12_ReID_0.80,0.5,24070,24868,143,247,23127,1741,943,0.9299903490429468,0.9608226007478189,20637,4231,3433,0.8298616696155702,0.8573743248857499,0.8433936818014631,53,104,0.8862899875363524,0.8,0.45,4
