model,iou_threshold,gt_detections,prediction_detections,unique_gt_ids,unique_pred_ids,TP,FP,FN,precision,recall,IDTP,IDFP,IDFN,IDP,IDR,IDF1,ID_switches,fragmentations,MOTA
Raw_ByteTrack,0.5,24070,25127,143,316,23252,1875,818,0.9253790743025431,0.9660157872870794,21698,3429,2372,0.8635332510844907,0.9014540922309929,0.8820863060755737,63,104,0.8855006231823848
V10_Geometry,0.5,24070,24924,143,199,23149,1775,921,0.9287835018456106,0.9617366015787288,19256,5668,4814,0.7725886695554486,0.8,0.7860554353594318,61,106,0.8854590776900706
V11_ReID_0.84,0.5,24070,24898,143,223,23142,1756,928,0.9294722467668086,0.9614457831325302,20100,4798,3970,0.8072937585348221,0.8350643955130869,0.8209442901486685,57,106,0.8861238055670959
Raw_ByteTrack,0.3,24070,25127,143,316,23270,1857,800,0.9260954351892386,0.9667636061487329,21709,3418,2361,0.8639710271819159,0.9019110926464479,0.8825334878142976,63,97,0.8869962609056917
V10_Geometry,0.3,24070,24924,143,199,23168,1756,902,0.9295458192906435,0.9625259659326963,19275,5649,4795,0.7733509870004814,0.8007893643539676,0.7868310405355757,61,98,0.8870378063980058
V11_ReID_0.84,0.3,24070,24898,143,223,23161,1737,909,0.9302353602699012,0.9622351474864977,20119,4779,3951,0.8080568720379147,0.8358537598670545,0.8217203071393563,57,98,0.8877025342750312
