epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.5281,1.09395,0.58865,0.80357,0.78639,0.75402,0.83399,0.45448,1.44929,0.75274,0.88474,0.000662745,0.000662745,0.000662745
2,120.826,1.07988,0.58111,0.80382,0.78195,0.76362,0.83567,0.4621,1.43875,0.7423,0.88157,0.00126361,0.00126361,0.00126361
3,179.385,1.09322,0.58386,0.80193,0.75745,0.7744,0.8216,0.43674,1.50772,0.79148,0.89342,0.00179847,0.00179847,0.00179847
4,237.619,1.08234,0.58372,0.80542,0.76544,0.7733,0.82075,0.4302,1.50911,0.77648,0.88987,0.001703,0.001703,0.001703
5,295.646,1.08756,0.58463,0.80465,0.77224,0.75981,0.80887,0.40644,1.58759,0.8061,0.90086,0.001604,0.001604,0.001604
6,353.912,1.0736,0.57398,0.80368,0.76026,0.77915,0.82771,0.44838,1.47739,0.78536,0.8916,0.001505,0.001505,0.001505
7,412.715,1.07362,0.57084,0.80238,0.7519,0.78215,0.81402,0.42995,1.47639,0.78925,0.88697,0.001406,0.001406,0.001406
8,470.856,1.07136,0.57485,0.80032,0.77027,0.7661,0.82019,0.43774,1.51446,0.78596,0.89423,0.001307,0.001307,0.001307
9,529.692,1.06926,0.5702,0.79966,0.7865,0.78197,0.83479,0.4474,1.48313,0.75621,0.89003,0.001208,0.001208,0.001208
